report_year,report_week,district,year,week,cases
2023,1,Colombo,2021,52,563.0
2023,1,Colombo,2022,1,563.0
2023,1,Colombo,2022,52,325.0
2023,1,Colombo,2023,1,433.0
2023,1,Gampaha,2021,52,446.0
2023,1,Gampaha,2022,1,457.0
2023,1,Gampaha,2022,52,290.0
2023,1,Gampaha,2023,1,440.0
2023,1,Kalutara,2021,52,182.0
2023,1,Kalutara,2022,1,180.0
2023,1,Kalutara,2022,52,92.0
2023,1,Kalutara,2023,1,112.0
2023,1,Kandy,2021,52,78.0
2023,1,Kandy,2022,1,89.0
2023,1,Kandy,2022,52,56.0
2023,1,Kandy,2023,1,100.0
2023,1,Matale,2021,52,3.0
2023,1,Matale,2022,1,20.0
2023,1,Matale,2022,52,27.0
2023,1,Matale,2023,1,39.0
2023,1,Nuwara Eliya,2021,52,6.0
2023,1,Nuwara Eliya,2022,1,8.0
2023,1,Nuwara Eliya,2022,52,9.0
2023,1,Nuwara Eliya,2023,1,1.0
2023,1,Galle,2021,52,75.0
2023,1,Galle,2022,1,95.0
2023,1,Galle,2022,52,51.0
2023,1,Galle,2023,1,43.0
2023,1,Hambantota,2021,52,21.0
2023,1,Hambantota,2022,1,22.0
2023,1,Hambantota,2022,52,14.0
2023,1,Hambantota,2023,1,10.0
2023,1,Matara,2021,52,22.0
2023,1,Matara,2022,1,44.0
2023,1,Matara,2022,52,45.0
2023,1,Matara,2023,1,33.0
2023,1,Jaffna,2021,52,64.0
2023,1,Jaffna,2022,1,31.0
2023,1,Jaffna,2022,52,114.0
2023,1,Jaffna,2023,1,128.0
2023,1,Kilinochchi,2021,52,9.0
2023,1,Kilinochchi,2022,1,4.0
2023,1,Kilinochchi,2022,52,7.0
2023,1,Kilinochchi,2023,1,4.0
2023,1,Mannar,2021,52,71.0
2023,1,Mannar,2022,1,28.0
2023,1,Mannar,2022,52,0.0
2023,1,Mannar,2023,1,0.0
2023,1,Vavuniya,2021,52,5.0
2023,1,Vavuniya,2022,1,2.0
2023,1,Vavuniya,2022,52,2.0
2023,1,Vavuniya,2023,1,3.0
2023,1,Mullaitivu,2021,52,0.0
2023,1,Mullaitivu,2022,1,0.0
2023,1,Mullaitivu,2022,52,2.0
