date,PRECTOTCORR,T2M,RH2M
20190101,0.12,24.8,80.0
20190102,0.02,24.39,79.51
20190103,0.01,24.17,78.52
20190104,0.0,24.03,77.63
20190105,0.03,24.88,81.53
20190106,0.0,24.56,77.62
20190107,0.02,25.04,79.76
20190108,0.01,25.58,81.23
20190109,0.04,25.37,80.65
20190110,0.23,25.6,81.21
20190111,6.5,25.37,82.99
20190112,2.04,25.66,84.11
20190113,5.47,25.56,86.26
20190114,4.44,25.8,85.05
20190115,1.18,25.59,83.54
20190116,3.96,25.53,83.78
20190117,0.15,24.78,78.57
20190118,0.03,24.12,76.98
20190119,0.0,23.87,76.58
20190120,0.1,24.58,78.26
20190121,0.0,25.38,79.26
20190122,0.04,25.61,80.48
20190123,0.03,25.92,80.44
20190124,0.13,26.28,79.32
20190125,0.92,26.44,80.77
20190126,0.82,26.98,79.92
20190127,0.21,26.74,75.39
20190128,0.02,26.35,74.62
20190129,0.0,25.32,76.04
20190130,0.0,25.54,78.06
20190131,0.02,25.87,77.68
20190201,0.02,26.14,77.27
20190202,0.84,26.51,77.84
20190203,1.86,26.83,80.11
20190204,13.75,26.6,82.77
20190205,7.29,26.58,84.8
20190206,2.55,26.6,81.05
20190207,0.18,26.7,76.65
20190208,0.91,26.9,81.87
20190209,26.92,25.84,85.71
20190210,10.02,26.67,77.39
20190211,0.32,26.4,79.88
20190212,0.11,26.4,79.64
20190213,0.22,26.77,79.44
20190214,3.1,27.05,80.81
20190215,4.83,27.09,81.26
20190216,12.26,26.58,83.87
20190217,6.04,27.05,82.1
20190218,1.15,26.87,82.19
20190219,0.63,27.51,76.77
20190220,0.03,26.69,74.08
20190221,0.07,26.79,75.9
20190222,0.1,26.14,73.94
20190223,0.0,26.05,68.91
20190224,0.0,26.75,69.65
20190225,0.42,27.46,73.83
20190226,6.44,27.08,82.45
20190227,18.91,26.14,85.03
20190228,0.6,26.74,80.78
20190301,0.18,27.91,74.19
20190302,0.02,27.47,72.11
20190303,4.24,27.92,74.86
20190304,2.23,26.77,80.14
20190305,1.04,26.91,81.85
20190306,0.51,27.12,81.52
20190307,0.07,27.63,80.16
20190308,0.48,27.16,80.67
20190309,7.58,27.42,79.5
20190310,2.36,27.66,72.61
20190311,0.57,27.42,68.26
20190312,0.42,27.27,68.45
20190313,0.04,27.5,67.66
20190314,0.14,28.1,65.43
20190315,0.28,27.73,66.35
20190316,1.84,28.15,71.36
20190317,5.19,27.94,73.79
20190318,9.18,28.31,73.0
20190319,0.82,28.17,70.45
20190320,0.18,28.09,70.35
20190321,2.38,27.89,72.46
20190322,0.7,28.23,74.33
20190323,4.45,28.15,76.85
20190324,0.47,27.82,74.09
20190325,0.0,27.99,59.75
20190326,0.0,27.72,65.33
20190327,0.05,28.34,67.13
20190328,0.39,28.09,69.15
20190329,0.01,27.68,70.01
20190330,0.96,27.82,73.83
20190331,0.7,28.09,72.91
20190401,0.1,28.05,71.41
20190402,0.01,27.99,71.89
20190403,0.86,28.44,69.89
20190404,1.06,28.04,67.22
20190405,0.15,28.18,70.2
20190406,0.07,28.69,69.31
20190407,0.13,28.5,74.54
20190408,0.14,28.52,75.03
20190409,0.11,28.82,71.47
20190410,0.46,29.34,69.66
20190411,4.75,28.17,76.9
20190412,1.02,28.8,74.43
20190413,3.06,28.85,76.23
